6067
900	623	0
900	37	0
911	37	0
922	37	0
933	37	0
933	623	0
944	37	0
944	623	0
955	598	0
955	559	0
955	36	0
955	641	0
966	598	0
977	559	0
984	36	0
901	641	0
902	623	0
902	688	0
903	37	0
903	688	0
904	623	0
904	37	0
904	688	0
905	37	0
905	688	0
906	37	0
906	688	0
907	37	0
907	688	0
908	623	0
908	37	0
908	688	0
909	37	0
909	688	0
910	623	0
910	688	0
912	688	0
913	688	0
914	623	0
914	37	0
914	688	0
915	623	0
915	37	0
915	688	0
916	623	0
916	37	0
916	688	0
917	37	0
917	688	0
918	37	0
918	688	0
919	623	0
919	37	0
919	688	0
920	37	0
920	688	0
921	37	0
921	688	0
923	37	0
923	688	0
923	678	0
924	37	0
924	678	0
925	623	0
925	678	0
926	623	0
926	678	0
927	678	0
928	678	0
929	623	0
929	37	0
929	678	0
930	623	0
930	37	0
930	678	0
931	37	0
931	678	0
932	623	0
932	37	0
932	678	0
934	623	0
934	37	0
934	678	0
935	37	0
935	688	0
935	678	0
936	678	0
937	678	0
938	623	0
938	678	0
939	37	0
939	678	0
939	688	0
940	37	0
940	678	0
940	688	0
941	678	0
941	688	0
942	37	0
942	678	0
943	37	0
943	678	0
945	678	0
945	688	0
946	678	0
946	688	0
947	678	0
947	688	0
948	623	0
948	37	0
948	688	0
948	678	0
949	623	0
949	37	0
949	678	0
950	37	0
950	678	0
950	688	0
951	623	0
951	732	0
952	732	0
953	732	0
954	732	0
954	688	0
956	732	0
956	688	0
957	623	0
957	732	0
957	688	0
958	623	0
958	732	0
958	688	0
959	732	0
959	688	0
960	37	0
960	678	0
960	732	0
961	37	0
961	678	0
961	732	0
962	37	0
962	732	0
963	37	0
963	732	0
963	623	0
964	623	0
964	37	0
964	688	0
964	732	0
965	623	0
965	37	0
965	688	0
965	732	0
967	37	0
967	688	0
967	732	0
968	37	0
968	688	0
968	732	0
969	623	0
969	37	0
969	732	0
970	37	0
970	732	0
971	691	0
972	623	0
972	688	0
972	691	0
973	623	0
973	688	0
973	691	0
974	623	0
974	688	0
974	691	0
975	623	0
975	688	0
975	21	0
976	688	0
976	21	0
978	623	0
978	688	0
978	21	0
979	688	0
979	21	0
980	651	0
981	668	0
981	559	0
981	36	0
981	641	0
982	8	0
983	746	0
983	688	0
896	900	7
896	933	7
894	902	7
899	904	7
899	905	7
899	908	7
895	923	7
894	925	7
894	926	7
894	927	7
898	942	7
897	946	7
898	958	7
1071	900	15
1071	911	15
1071	922	15
1071	933	15
